WWII_ID,MASTER_INDEX_NUMBER,MSNDATE,THEATER,NAF,COUNTRY_FLYING_MISSION,TGT_COUNTRY_CODE,TGT_COUNTRY,TGT_LOCATION,TGT_TYPE,TGT_ID,TGT_INDUSTRY_CODE,TGT_INDUSTRY,SOURCE_LATITUDE,SOURCE_LONGITUDE,LATITUDE,LONGITUDE,UNIT_ID,MDS,AIRCRAFT_NAME,MSN_TYPE,TGT_PRIORITY,TGT_PRIORITY_EXPLANATION,AC_ATTACKING,ALTITUDE,ALTITUDE_FEET,NUMBER_OF_HE,TYPE_OF_HE,LBS_HE,TONS_OF_HE,NUMBER_OF_IC,TYPE_OF_IC,LBS_IC,TONS_OF_IC,NUMBER_OF_FRAG,TYPE_OF_FRAG,LBS_FRAG,TONS_OF_FRAG,TOTAL_LBS,TOTAL_TONS,TAKEOFF_BASE,TAKEOFF_COUNTRY,TAKEOFF_LATITUDE,TAKEOFF_LONGITUDE,AC_LOST,AC_DAMAGED,AC_AIRBORNE,AC_DROPPING,TIME_OVER_TARGET,SIGHTING_METHOD_CODE,SIGHTING_EXPLANATION,BDA,CALLSIGN,ROUNDS_AMMO,SPARES_RETURN_AC,WX_FAIL_AC,MECH_FAIL_AC,MISC_FAIL_AC,TARGET_COMMENT,MISSION_COMMENTS,SOURCE,DATABASE_EDIT_COMMENTS
91502,282411,7/1/1941,ETO,RAF,GREAT BRITAIN,7,FRANCE,MERVILLE,AIRDROME,27637,78,AIR FIELDS AND AIRDROMES,5038,238,50.63,2.63,,BLEN,BLENHEIM,,,,6,,,,,,3,,,,,,,,,,3,,,,,,,6,6,,,,,,,,,,,,,,
91508,282417,7/1/1941,ETO,RAF,GREAT BRITAIN,8,GERMANY,VARREL,CIIY AREA,44735,2,CITIES TOWNS AND URBAN AREAS,5238,844,52.63,8.73,,BLEN,BLENHEIM,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,
91198,282398,7/1/1941,ETO,RAF,GREAT BRITAIN,8,GERMANY,BORKUM,AIRDROME,5231,78,AIR FIELDS AND AIRDROMES,5336,640,53.6,6.67,,STIR,SHORT STIRLING,,,,2,,,,,,8,,,,,,,,,,8,,,,,,,2,2,,,,,,,,,,,,,,
91504,282413,7/1/1941,ETO,RAF,GREAT BRITAIN,8,GERMANY,OLDENBURG,THERMAL POWER STA,32066,3,"""PUBLIC UTILITIES - ELECTRIC LIGHT AND POWER COMPANIES,  GAS COMPANIES, TELEPHONE COMPANIES,  WATER COMPANIES.  """,53.95479,13.558133,53.95,13.56,,BLEN,BLENHEIM,,,,1,,,,,,1,,,,,,,,,,1,,,,,,,1,1,,,,,,,,,,,,,,
91505,282414,7/1/1941,ETO,RAF,GREAT BRITAIN,8,GERMANY,OLDENBURG,CITY AREA,32066,2,CITIES TOWNS AND URBAN AREAS,53.95479,13.558133,53.95,13.56,,BLEN,BLENHEIM,,,,1,,,,,,1,,,,,,,,,,1,,,,,,,1,1,,,,,,,,,,,,,,
91506,282415,7/1/1941,ETO,RAF,GREAT BRITAIN,8,GERMANY,OLDENBURG,CITY AREA,32066,2,CITIES TOWNS AND URBAN AREAS,53.95479,13.558133,53.95,13.56,,BLEN,BLENHEIM,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,
91507,282416,7/1/1941,ETO,RAF,GREAT BRITAIN,8,GERMANY,OLDENBURG,MARSHALLING YARDS,32066,63,"""RR INSTALLATIONS,  TRACKS,  MARSHALLING YARDS,  AND STATIONS""",53.95479,13.558133,53.95,13.56,,BLEN,BLENHEIM,,,,2,,,,,,1,,,,,,,,,,1,,,,,,,2,2,,,,,,,,,,,,,,
123787,,7/1/1942,PTO,RAAF,AUSTRALIA,,TIMOR,DILI,BARRACKS,,,,-8.55,125.66667,-8.55,125.66667,DARWIN,HUDSON,HUDSON,1,,,4,,0,12,250 LB GP (GP-M57),3000,1.5,12,25 LB INCENDIARY,300,0.15,,,,0,3300,1.65,DARWIN,AUSTRALIA,,,,,,,1610,,,,,,,,,,,,,
123791,,7/1/1942,PTO,5 AF,USA,,NEW GUINEA,SALAMUA,TOWN,,,,-7.05711,147.044845,-7.05711,147.044845,22 BG,B26,B26,1,,,6,,116,,100 LB GP (GP-M30),11600,5.8,,,,0,,,,0,11600,5.8,,,,,,,,,55,,,,,,,,,,,,,
123788,,7/1/1942,PTO,RAAF,AUSTRALIA,,TIMOR,AMBON,TOWN,,,,-3.695426,128.181405,-3.695426,128.181405,DARWIN,HUDSON,HUDSON,1,,,4,10,9500,9,250 LB GP (GP-M57),2250,1.125,,,,0,,,,0,2250,1.125,DARWIN,AUSTRALIA,,,,,,,2015,,,,,,,,,,,,,
