WWII_ID,MASTER_INDEX_NUMBER,MSNDATE,THEATER,NAF,COUNTRY_FLYING_MISSION,TGT_COUNTRY_CODE,TGT_COUNTRY,TGT_LOCATION,TGT_TYPE,TGT_ID,TGT_INDUSTRY_CODE,TGT_INDUSTRY,SOURCE_LATITUDE,SOURCE_LONGITUDE,LATITUDE,LONGITUDE,UNIT_ID,MDS,AIRCRAFT_NAME,MSN_TYPE,TGT_PRIORITY,TGT_PRIORITY_EXPLANATION,AC_ATTACKING,ALTITUDE,ALTITUDE_FEET,NUMBER_OF_HE,TYPE_OF_HE,LBS_HE,TONS_OF_HE,NUMBER_OF_IC,TYPE_OF_IC,LBS_IC,TONS_OF_IC,NUMBER_OF_FRAG,TYPE_OF_FRAG,LBS_FRAG,TONS_OF_FRAG,TOTAL_LBS,TOTAL_TONS,TAKEOFF_BASE,TAKEOFF_COUNTRY,TAKEOFF_LATITUDE,TAKEOFF_LONGITUDE,AC_LOST,AC_DAMAGED,AC_AIRBORNE,AC_DROPPING,TIME_OVER_TARGET,SIGHTING_METHOD_CODE,SIGHTING_EXPLANATION,BDA,CALLSIGN,ROUNDS_AMMO,SPARES_RETURN_AC,WX_FAIL_AC,MECH_FAIL_AC,MISC_FAIL_AC,TARGET_COMMENT,MISSION_COMMENTS,SOURCE,DATABASE_EDIT_COMMENTS
175114,295574,7/24/1944,ETO,RAF,GREAT BRITAIN,7,FRANCE,FERFAY,TOWN AREA,13647,2,CITIES TOWNS AND URBAN AREAS,5031,225,50.52,2.42,,HVY,LANCASTER,,,,16,,,,,,64,,,,,,,,,,64,,,,,,,16,16,,,,,,,,,,,,,,
175109,295566,7/24/1944,ETO,RAF,GREAT BRITAIN,8,GERMANY,AACHEN,CITY AREA,10,2,CITIES TOWNS AND URBAN AREAS,5047,605,50.78,6.08,,LGT,LIGHT,,,,4,,,,,,3,,,,,,,,,,3,,,,,,,4,4,,,,,,,,,,,,,,
175112,295569,7/24/1944,ETO,RAF,GREAT BRITAIN,8,GERMANY,BERLIN,CITY AREA,3735,2,CITIES TOWNS AND URBAN AREAS,5232,1325,52.53,13.42,,LGT,LIGHT,,,,,,,,,,4,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,
175113,295570,7/24/1944,ETO,RAF,GREAT BRITAIN,8,GERMANY,BERLIN,CITY AREA,3735,2,CITIES TOWNS AND URBAN AREAS,5232,1325,52.53,13.42,,LGT,LIGHT,,,,27,,,,,,44,,,,,,,,,,44,,,,,,,27,27,,,,,,,,,,,,,,
175411,7222,7/25/1944,PTO,5 AF,USA,,NEW GUINEA,BUT,UNIDENTIFIED TARGET,,,,325,14315,-3.416666667,143.25,110 FS,P39,P39,10,1,,,,0,8,250 LB GP (GP-M57),,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
175400,6355,7/25/1944,PTO,5 AF,USA,,NEW GUINEA,BABIANG,UNIDENTIFIED TARGET,,,,318,14249,-3.3,142.8166667,110 FS,P39,P39,10,1,,,,0,16,250 LB GP (GP-M57),,2,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,
175392,5546,7/25/1944,PTO,5 AF,USA,,CELEBES ISLANDS,NAMLEA,AIRDROME,,,,316,12706,-3.266666667,127.1,531 BS,B24,B24,1,1,,6,130,13000,28,500 LB GP (GP-M43/M64),,7,,,,,116.6666667,120 LB FRAG (6X20 CLUSTERS),,7,,14,,,,,,,,,,,,,,,,,,,,,,
175393,5545,7/25/1944,PTO,5 AF,USA,,CELEBES ISLANDS,NAMLEA,AIRDROME,,,,316,12706,-3.266666667,127.1,528 BS,B24,B24,1,1,,6,130,13000,24,500 LB GP (GP-M43/M64),,6,,,,,116.6666667,120 LB FRAG (6X20 CLUSTERS),,7,,13,,,,,,,,,,,,,,,,,,,,,,
175391,6459,7/25/1944,PTO,5 AF,USA,,NEW GUINEA,BABO,AIRDROME,,,,235,13325,-2.583333333,133.4166667,33 BS,B24,B24,1,1,,5,,,30,1000 LB GP (GP-M44/M65),,15,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,
175389,10712,7/25/1944,PTO,5 AF,USA,,NEW GUINEA,NATOE RIVER,UNIDENTIFIED TARGET,,,,155,13840,-1.916666667,138.6666667,321 BS,B24,B24,1,1,,6,50,5000,36,1000 LB GP (GP-M44/M65),,18,,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,
